sample_ID	pop
1b	Mother
B12	Belle Creek
B17	Belle Creek
B2	Belle Creek
B20	Belle Creek
B3	Belle Creek
B4	Belle Creek
B5	Belle Creek
B7	Belle Creek
B8	Belle Creek
C10	Chub Creek
C12	Chub Creek
C2	Chub Creek
C3	Chub Creek
C4	Chub Creek
C5	Chub Creek
C8	Chub Creek
M1	Maple Creek
M2	Maple Creek
M4	Maple Creek
S1	Shields Lake
S10	Shields Lake
S11	Shields Lake
S12	Shields Lake
S14	Shields Lake
S15	Shields Lake
S16	Shields Lake
S17	Shields Lake
S18	Shields Lake
S19	Shields Lake
S20	Shields Lake
S21	Shields Lake
S22	Shields Lake
S23	Shields Lake
S24	Shields Lake
S25	Shields Lake
S4	Shields Lake
S5	Shields Lake
S8	Shields Lake
